Compresa,Particella,Area saggio,n,poll,D(cm),Classe diametrica,h(m),Genere,Fustaia,G(m2),V(m3),Ipr(mm),c(1/a),Pv(%/a),PvxV(m3/a)
Capistrano,1,1,1,,58,11,27.631999,Pino Nero,True,0.260000,3.256357,25.000000,200.000000,1.720000,0.080000
Capistrano,1,1,2,,49,10,23.105532,Abete,True,0.190000,2.116734,30.000000,200.000000,2.450000,0.080000
Capistrano,1,1,3,,42,8,24.882906,Pino Nero,True,0.140000,1.568838,25.000000,200.000000,2.380000,0.060000
Capistrano,1,1,4,,55,11,23.917657,Abete,True,0.240000,2.757595,30.000000,200.000000,2.180000,0.090000
Capistrano,1,1,5,,49,10,26.195823,Pino Nero,True,0.190000,2.224802,25.000000,200.000000,2.040000,0.070000
Capistrano,1,1,6,,55,11,23.917657,Abete,True,0.240000,2.757595,30.000000,200.000000,2.180000,0.090000
Capistrano,1,1,7,,51,10,23.386793,Abete,True,0.200000,2.320056,30.000000,200.000000,2.350000,0.080000
Capistrano,1,1,8,,52,10,23.523314,Abete,True,0.210000,2.425564,30.000000,200.000000,2.310000,0.080000
Capistrano,1,1,9,,30,6,22.017138,Pino Nero,True,0.070000,0.728570,25.000000,200.000000,3.330000,0.040000
Capistrano,1,1,10,,30,6,22.017138,Pino Nero,True,0.070000,0.728570,25.000000,200.000000,3.330000,0.040000
Capistrano,1,1,11,,67,13,25.305212,Abete,True,0.350000,4.322902,30.000000,200.000000,1.790000,0.110000
Capistrano,1,1,12,,38,7,21.318113,Abete,True,0.110000,1.178056,30.000000,200.000000,3.160000,0.060000
Capistrano,1,1,13,,25,5,20.464287,Pino Nero,True,0.050000,0.479046,25.000000,200.000000,4.000000,0.030000
Capistrano,1,1,14,,69,14,34.000000,Douglas,True,0.370000,5.473454,30.000000,200.000000,1.740000,0.110000
Capistrano,1,1,15,,40,8,24.467355,Pino Nero,True,0.130000,1.404287,25.000000,200.000000,2.500000,0.050000
Capistrano,1,1,16,,41,8,21.852340,Abete,True,0.130000,1.404394,30.000000,200.000000,2.930000,0.070000
Capistrano,1,1,17,,28,5,21.429519,Pino Nero,True,0.060000,0.621918,25.000000,200.000000,3.570000,0.040000
Capistrano,1,1,18,,36,7,34.000000,Douglas,True,0.100000,1.505101,30.000000,200.000000,3.330000,0.060000
Capistrano,1,1,19,,58,11,34.000000,Douglas,True,0.260000,3.876323,30.000000,200.000000,2.070000,0.090000
Capistrano,1,1,20,,56,11,24.044338,Abete,True,0.250000,2.873474,30.000000,200.000000,2.140000,0.090000
