Anno,Compresa,Particella,Governo
2011,Capistrano,14a,Fustaia
2011,Serra,21,Fustaia
2011,Serra,17,Fustaia
2011,Serra,5,Fustaia
2011,Serra,16,Fustaia
2012,Serra,18,Fustaia
2013,Fabrizia,4,Fustaia
2013,Fabrizia,5a,Fustaia
2013,Serra,6,Fustaia
2013,Serra,4,Fustaia
2013,Serra,20,Fustaia
2013,Serra,11,Fustaia
2013,Serra,12,Fustaia
2013,Serra,3,Fustaia
2014,Fabrizia,14a,Fustaia
2014,Fabrizia,7a,Fustaia
2014,Serra,10b,Fustaia
2014,Serra,22,Fustaia
2014,Serra,7,Fustaia
2015,Serra,19,Fustaia
2015,Serra,24,Fustaia
2016,Fabrizia,11a,Fustaia
2016,Fabrizia,11c,Rimboschimento
2016,Fabrizia,8,Fustaia
2016,Serra,14,Fustaia
2016,Serra,15,Fustaia
2016,Serra,2a,Fustaia
2017,Capistrano,12a,Fustaia
2017,Capistrano,16a,Fustaia
2017,Capistrano,12b,Rimboschimento
2017,Capistrano,15,Fustaia
2017,Capistrano,16b,Rimboschimento
2017,Capistrano,17b,Rimboschimento
2017,Capistrano,14b,Rimboschimento
2017,Fabrizia,1,Fustaia
2017,Fabrizia,4,Fustaia
2017,Fabrizia,7a,Fustaia
2017,Fabrizia,13a,Fustaia
2017,Fabrizia,12a,Fustaia
2017,Fabrizia,6,Fustaia
2017,Fabrizia,2,Fustaia
2017,Fabrizia,5a,Fustaia
2017,Serra,9,Fustaia
2017,Serra,29,Fustaia
2017,Serra,26,Fustaia
2017,Serra,27,Fustaia
2017,Serra,1,Fustaia
2017,Serra,23,Fustaia
2018,Serra,28,Fustaia
2018,Serra,3,Fustaia
2018,Serra,13,Fustaia
2018,Serra,21,Fustaia
2018,Serra,17,Fustaia
2018,Serra,16,Fustaia
2019,Capistrano,12b,Fustaia
2019,Capistrano,16b,Rimboschimento
2019,Capistrano,17b,Rimboschimento
2019,Fabrizia,5a,Fustaia
2019,Fabrizia,3,Fustaia
2019,Fabrizia,13a,Fustaia
2019,Fabrizia,8,Fustaia
2019,Serra,5,Fustaia
2019,Serra,18,Fustaia
2019,Serra,20,Fustaia
2019,Serra,4,Fustaia
2020,Capistrano,15,Fustaia
2020,Capistrano,3,Fustaia
2020,Capistrano,4a,Fustaia
2020,Capistrano,2,Fustaia
2020,Capistrano,5a,Fustaia
2020,Capistrano,6a,Fustaia
2020,Capistrano,7a,Fustaia
2020,Capistrano,8a,Fustaia
2020,Capistrano,9a,Fustaia
2020,Capistrano,10a,Fustaia
2020,Capistrano,11a,Fustaia
2020,Fabrizia,7a,Fustaia
2020,Fabrizia,14a,Fustaia
2020,Fabrizia,9a,Fustaia
2020,Fabrizia,10a,Fustaia
2020,Serra,6,Fustaia
2021,Capistrano,14b,Rimboschimento
2021,Serra,25,Fustaia
2021,Serra,1,Fustaia
2021,Serra,8,Fustaia
2021,Serra,1a,Fustaia
2022,Serra,12,Fustaia
2022,Serra,22,Fustaia
2022,Serra,23,Fustaia
2022,Serra,7,Fustaia
2023,Serra,11,Fustaia
2023,Serra,10b,Fustaia
2023,Serra,24,Fustaia
2024,Capistrano,14a,Fustaia
2024,Capistrano,16a,Fustaia
2024,Fabrizia,6,Fustaia
2024,Fabrizia,7a,Fustaia
2024,Fabrizia,8,Fustaia
2024,Fabrizia,12a,Fustaia
2024,Serra,19,Fustaia
2024,Serra,14,Fustaia
2025,Capistrano,1,Fustaia
2025,Fabrizia,11a,Fustaia
2025,Fabrizia,1,Fustaia
2025,Fabrizia,11c,Rimboschimento
2025,Fabrizia,4,Fustaia
2025,Serra,9,Fustaia
2025,Serra,15,Fustaia
